date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:49:50	98468/98468	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:16%20GMT	https://sites.google.com/view/f17er/fnaf/fnaf-4	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/fnaf/fnaf-4.html	(from https://sites.google.com/view/f17er)
00:49:50	98513/98513	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:16%20GMT	https://sites.google.com/view/f17er/fnaf/fnaf-5l	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/fnaf/fnaf-5l.html	(from https://sites.google.com/view/f17er)
00:49:50	99148/99148	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:16%20GMT	https://sites.google.com/view/f17er/8a5k3t8all/bb-l3g3nd5-2020	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/8a5k3t8all/bb-l3g3nd5-2020.html	(from https://sites.google.com/view/f17er)
00:49:51	98450/98450	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:17%20GMT	https://sites.google.com/view/f17er/8a5k3t8all/bb-stars	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/8a5k3t8all/bb-stars.html	(from https://sites.google.com/view/f17er)
00:49:51	98481/98481	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:17%20GMT	https://sites.google.com/view/f17er/8a5k3t8all/8a5k3t8all-10	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/8a5k3t8all/8a5k3t8all-10.html	(from https://sites.google.com/view/f17er)
00:49:52	98376/98376	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:18%20GMT	https://sites.google.com/view/f17er/8a5k3t8all/8a5k3t-8r05	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/8a5k3t8all/8a5k3t-8r05.html	(from https://sites.google.com/view/f17er)
00:49:52	98696/98696	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:18%20GMT	https://sites.google.com/view/f17er/8a5k3t8all/8a5k3t-5lam-dunk-2	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/8a5k3t8all/8a5k3t-5lam-dunk-2.html	(from https://sites.google.com/view/f17er)
00:49:53	98574/98574	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:19%20GMT	https://sites.google.com/view/f17er/8a5k3t8all/8a5k3t-and-8all	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/8a5k3t8all/8a5k3t-and-8all.html	(from https://sites.google.com/view/f17er)
00:49:53	98522/98522	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:19%20GMT	https://sites.google.com/view/f17er/8a5k3t8all/can0n-8a5k3t8all-4	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/8a5k3t8all/can0n-8a5k3t8all-4.html	(from https://sites.google.com/view/f17er)
00:49:54	98536/98536	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Jun%202022%2005:56:20%20GMT	https://sites.google.com/view/f17er/8a5k3t8all/3p1c-8a5k3t8all	C:/My%20Web%20Sites/uno/sites.google.com/view/f17er/8a5k3t8all/3p1c-8a5k3t8all.html	(from https://sites.google.com/view/f17er)
